,TERM,DOMAIN,P,-log10(P),FDR,ORDER
64,right_lateral_occipital_cortex_inferior_division,VISION,0.9737908819516986,0.011534296268459084,0.9806242001977895,3
67,right_occipital_fusiform_gyrus,VISION,0.9710845834409604,0.012742940512371346,0.9806242001977895,3
68,right_occipital_pole,VISION,0.9493946386979982,0.022553225103912666,0.9806242001977895,3
95,right_superior_frontal_gyrus,MANIPULATION,0.0001888110108837705,3.72397268256642,0.00048434128878880255,4
97,right_supplementary_motor_cortex,MANIPULATION,0.004503829611972085,2.34641804799242,0.009662761712958292,4
94,right_precuneous_cortex,MANIPULATION,0.008927815259493533,2.0492548050342565,0.016207418471080568,4
79,left_precuneous_cortex,MANIPULATION,0.014073650169495569,1.8515932484873874,0.024786428656723536,4
89,right_inferior_frontal_gyrus_pars_opercularis,MANIPULATION,0.02351747775871139,1.6286092580300813,0.04080974081658741,4
87,right_cerebellar_lobules,MANIPULATION,0.03742554588559042,1.426831856359107,0.06400310745651695,4
73,left_cerebellar_lobules,MANIPULATION,0.042006476498182135,1.3766837455406276,0.06969894937140618,4
91,right_middle_frontal_gyrus,MANIPULATION,0.04890383154690275,1.3106571131772282,0.07798178543965573,4
71,left_angular_gyrus,MANIPULATION,0.06542621798540742,1.1842481837141754,0.0989781246445907,4
93,right_precentral_gyrus,MANIPULATION,0.0693691423600919,1.1588336748327732,0.10361466833532713,4
72,left_cerebellar_crus,MANIPULATION,0.08337375155631332,1.0789706561790047,0.12297628354556216,4
86,right_cerebellar_crus,MANIPULATION,0.0882599273838933,1.0542364342057016,0.12700818818657814,4
80,left_superior_frontal_gyrus,MANIPULATION,0.1131756826767568,0.9462468771565077,0.15828945761678823,4
99,right_supramarginal_gyrus_posterior_division,MANIPULATION,0.17266812925856131,0.7627878162510767,0.2369167354943051,4
85,right_angular_gyrus,MANIPULATION,0.17661208367313772,0.7529795856223637,0.23954282613138217,4
84,left_supramarginal_gyrus_posterior_division,MANIPULATION,0.19669479796013511,0.7062071258309569,0.2637498427192721,4
76,left_middle_frontal_gyrus,MANIPULATION,0.22128395001793755,0.6550500848139285,0.2894560063776166,4
96,right_superior_parietal_lobule,MANIPULATION,0.2232245472912128,0.6512580491299186,0.2894560063776166,4
92,right_postcentral_gyrus,MANIPULATION,0.25766897451972337,0.5889378709564773,0.3269348278852404,4
75,left_lateral_occipital_cortex_superior_division,MANIPULATION,0.2765951502073394,0.5581554390374677,0.34356029183648473,4
74,left_cerebellar_vermis,MANIPULATION,0.350701296076069,0.4550626291066789,0.4180076054240014,4
98,right_supramarginal_gyrus_anterior_division,MANIPULATION,0.4158984517929323,0.38101269631945645,0.4844651489042579,4
82,left_supplementary_motor_cortex,MANIPULATION,0.46535284766500534,0.3322176241355344,0.5229679621378156,4
90,right_lateral_occipital_cortex_superior_division,MANIPULATION,0.555992741166373,0.25493087836752515,0.6189353156380378,4
77,left_postcentral_gyrus,MANIPULATION,0.6858283681596352,0.16378455497437475,0.7424563985581373,4
83,left_supramarginal_gyrus_anterior_division,MANIPULATION,0.8533330638710632,0.06888142654765131,0.9153240774388209,4
88,right_cerebellar_vermis,MANIPULATION,0.8610251914890604,0.06498414196720258,0.9153240774388209,4
78,left_precentral_gyrus,MANIPULATION,0.9087871230292924,0.04153783528286071,0.9574721474772903,4
81,left_superior_parietal_lobule,MANIPULATION,0.9395602366573209,0.027075371381154897,0.9806242001977895,4
114,right_planum_polare,LANGUAGE,2.3281199682434413e-06,5.6329946442095595,8.324792613718972e-06,5
109,right_central_opercular_cortex,LANGUAGE,2.4641373297159216e-06,5.608335092012545,8.55200602666114e-06,5
111,right_middle_temporal_gyrus_anterior_division,LANGUAGE,0.00016491835379837743,3.7827310089413135,0.00043245257218241196,5
116,right_superior_temporal_gyrus_anterior_division,LANGUAGE,0.00025353714019080007,3.59595841266811,0.0006232788029690501,5
110,right_heschls_gyrus,LANGUAGE,0.0004957234444391104,3.304760541353539,0.0011937829886492864,5
105,left_planum_polare,LANGUAGE,0.0006280159939619584,3.202029295751702,0.001425113217067521,5
112,right_middle_temporal_gyrus_posterior_division,LANGUAGE,0.0016421655191159023,2.7845830710802484,0.003656142099163707,5
100,left_central_opercular_cortex,LANGUAGE,0.0057173750066514956,2.2428033211706944,0.011835969312015377,5
102,left_middle_temporal_gyrus_anterior_division,LANGUAGE,0.007674853364190588,2.1149299134053345,0.014846437655319499,5
117,right_superior_temporal_gyrus_posterior_division,LANGUAGE,0.007633161780562074,2.117295532894072,0.014846437655319499,5
103,left_middle_temporal_gyrus_posterior_division,LANGUAGE,0.008179860319688332,2.0872541123319195,0.0152305106959193,5
107,left_superior_temporal_gyrus_anterior_division,LANGUAGE,0.008135413795777154,2.0896203524195314,0.0152305106959193,5
113,right_parietal_operculum_cortex,LANGUAGE,0.06188114147821824,1.2084416837716503,0.09607861440039149,5
108,left_superior_temporal_gyrus_posterior_division,LANGUAGE,0.06444392944240852,1.1908179865159128,0.09875822953511955,5
101,left_heschls_gyrus,LANGUAGE,0.11402206692734745,0.9430110906165268,0.15828945761678823,5
106,left_planum_temporale,LANGUAGE,0.20301675730275484,0.6924681132998036,0.26916828496320305,5
104,left_parietal_operculum_cortex,LANGUAGE,0.34706348958956734,0.45959107086842726,0.417892773179275,5
115,right_planum_temporale,LANGUAGE,0.4392341936126375,0.35730385817717497,0.5032003383135071,5
